篇名,作者,关键词,摘要,没有引进词表的jieba提取的中药材,引进词表的jieba提取的中药材
基于现代文献探讨干预血脂异常的药食同源类药物用药特点及其病机分析,"葛肖波,薛晓琳,李鑫,李宁","血脂异常,药食同源中药,用药特点,病机,中医传承辅助平台","目的通过对文献的研究,探讨干预血脂异常的药食同源中药的用药特点,并对其进行病机分析.方法检索中文数据库(知网、万方、维普)筛选—年间血脂异常的临床文献,借助""中医传承辅助平台V."",以年卫健委公布的种药食同源中药为对照,对数据进行频次、关联规则分析,按通用教材对药食同源中药的药效、性味和归经进行统计分析,基于统计结果探讨药食同源中药干预血脂异常的用药特点,并对其进行病机分析.结果药食同源中药味(占常用味的.％),出现频次为次(占味中药出现次数的.％);出现频次≥次的药食同源中药共味(占味药食同源中药的.％),出现频次为次(占味药食同源中药出现次数的.％),按频次由高到低排序依次为山楂、茯苓、决明子等;发掘出组治疗血脂异常的药食同源中药组合;干预血脂异常的药食同源中药药味以甘为主,药性以平为主,归脾经的药物最多.结论药食同源中药干预血脂异常多以健脾为基本治则,兼以祛湿化痰、活血化瘀,常用药食同源中药为山楂、决明子、茯苓等,可将这些药物用于血脂异常的日常保健与临床防治.","山楂, 茯苓, 决明子","山楂, 茯苓, 决明子"
一款药食同源马蹄糕的研制,"李淼,谢梦洲,陈禧音,付琴,曹海琳","药食同源,马蹄糕,清热,配方","以药食同源药物和马蹄粉为主要原料并配以辅料,以感官评分为指标,考查中药汁、梨汁、柠檬汁及马蹄粉添加量对马蹄糕品质的影响,采用单因素试验及正交试验确定配方.结果表明,最佳配方为中药汁mL(灰树花g,山药g,茯苓g,黄芪g,藕g,葛根g,党参g,甘草g,加水mL,浸泡min,煎煮min),梨汁mL,柠檬汁mL,马蹄粉g.按照最佳配方研制出的马蹄糕性状稳定、颜色均匀、口感风味良好.","树花, 山药, 茯苓, 黄芪, 藕, 葛根, 党参, 甘草","树花, 山药, 茯苓, 黄芪, 藕, 葛根, 党参, 甘草"
药食同源降血脂食品原料的研究及应用进展,"刘学云,于新,何嘉敏,王仲芬,唐树森","药食同源,降血脂,高血脂症","阐述了葛根、蒲公英、桑叶、决明子、山楂、山药、紫苏、荷叶、莱菔子、薏苡仁、红曲等种常见的药食同源原料中可控制和治疗高血脂症的有效成分,探讨了其降血脂的作用机制;综述了对药食同源中药为原料的降血脂食品的研究和发展现状,指出了药食同源降血脂食品开发中有待进一步研究和亟待解决的问题,为药食同源降血脂食品的开发和利用提供理论参考.","葛根, 蒲公英, 桑叶, 决明子, 山楂, 山药, 紫苏, 荷叶, 莱菔子, 薏苡仁, 红曲","葛根, 蒲公英, 桑叶, 决明子, 山楂, 山药, 紫苏, 荷叶, 莱菔子, 薏苡仁, 红曲"
药食同源莲子的应用研究进展,"张超文,谢梦洲,王亚敏,向茗,朱建平,肖作为","莲子,药食同源功能,中医药,保健食品","莲子营养价值丰富,既可药用又可食用,为“药食同源”产品之一.自古以来,莲子都是人们喜爱的滋补品,不仅补益效果佳、来源方便,还可以根据不同的搭配制作出多种类型的莲子保健产品.随着研究的深入,莲子的应用范围日益广泛,已渗透到中医药、保健食品开发、日化用品研发中,且市场开发前景巨大.",莲子,莲子
五种药食同源花提取物体外协同抗氧化作用,"余祥雄,梁泽明,肖性龙,余以刚","药食同源花,复配物,DPPH,溶血,协同效应","通过,-二苯基--三硝基苯肼(,-diphenyl--picrylhydrazyl,DPPH)自由基清除试验和,-偶氮二(-甲基丙基咪)二盐酸盐(,-azobis-(-amidinopropane)dihydrochloride,AAPH)诱导红细胞溶血试验评价菊花、金银花、槐花、代代花、白扁豆花水提物和水提物的复配物(菊花％,槐花％,白扁豆花％,代代花％,金银花％)的抗氧化性,并讨论五种药食同源花的协同抗氧化作用.结果表明五种药食同源花的提取物及其复配物均具有一定程度的抗氧化能力.在DPPH体系中,根据自由基的半数清除率(IC值),各提取物抗氧化能力大小顺序为复配物(IC=.μg/mL)＞槐花(IC=.μg/mL)＞菊花(IC=.μg/mL)＞金银花(IC=.μg/mL)＞代代花(IC=.μg/mL)＞白扁豆花(IC=.μ,g/mL),复配物表现出明显的协同抗氧化效果.AAPH诱导红细胞溶血体系中,复配物和槐花提取物表现出很强的溶血抑制作用,而金银花、菊花、代代花以及白扁豆花提取物仅表现出较弱的抑制作用.剂量在～μg/mL时槐花提取物对红细胞的溶血抑制率小于复配物,当剂量达到μg/mL时,槐花提取物和复配物对红细胞的溶血抑制率分别为.％±.％和.％±.％,这说明五种药食同源花提取物之间存在协同抗氧化作用.","菊花, 金银花, 槐花, 白扁豆","菊花, 金银花, 槐花, 白扁豆"
变换波长HPLC法同时测定药食同源降脂片中橙黄决明素、芦丁和槲皮素含量,"陈静,丁洁,沙芮,李瑞宾,牛犇","高效液相色谱法(HPLC),橙黄决明素,芦丁,槲皮素,药食同源降脂片",采用GeminiC色谱柱(.mm×mm袁μm)袁流速为mL/min袁柱温℃袁波长切换(~min袁在nm波长下检测芦丁袁~min袁在nm波长下检测槲皮素和橙黄决明素)袁进样量μL袁流动相为甲醇(A)-水(B).结果表明袁橙黄决明素在.~.μg/mL(R＝.)线性关系良好袁平均回收率为.%袁RSD为.%;芦丁在.~.μg/mL(R＝.)线性关系良好袁平均回收率为.%袁RSD为.%;槲皮素在.~.μg/mL(R＝.)线性关系良好袁平均回收率为.%袁RSD为.%.药食同源降脂片中橙黄决明素平均含量.mg/g袁RSD为.%;芦丁平均含量.mg/g袁RSD为.%;槲皮素平均含量.mg/g袁RSD为.%.该方法操作简便、准确、稳定、重复性好袁可用于药食同源降脂片的质量控制.,槲皮,槲皮
药食同源一岷县当归产业发展的新突破点,张建强,"当归食品,药食同源,当归产业,当归饮食文化","为了增加当归消费新需求,依据当归功效和药食同源思想,提出了开发当归食品的思路和推广建议.开发思路主要包括:充分挖掘中医食疗宝库,搜集民间传统的当归食品;运用现代生命科学研究成果,设计效果确切的当归食品;与大企业合作,联手开发当归食品;与日常食品和饮品相结合,开发当归系列食品.推广建议主要是:颠覆当归仅仅为中药材的传统观念,打造当归饮食文化;充分利用现有销售渠道,通过当归食品推广当归饮食文化;通过电视台、网络媒体积极传播当归饮食文化.",当归,当归
种食药同源植物提取物对果蔬常见腐败菌的抑菌活性研究,"郭俊花,张增帅,马欣,成少宁","食药同源,果蔬,腐败菌,抑菌","本文以花椒、高良姜等种食药同源植物提取物为供试材料,分别研究了其对扩展青霉、灰葡萄孢、链格孢和大肠杆菌、金黄色葡萄球菌等种常见果蔬腐败菌的抑制作用.结果表明,花椒对三种霉菌抑制作用最强,高良姜和莱菔子对扩展青霉和链格孢有一定抑制作用.花椒对三种霉菌的最小抑菌浓度分别为.、.、.mg/mL,最小杀菌浓度分别为.、.、.mg/mL.花椒对三种霉菌的孢子萌发有显著抑制作用.花椒提取液处理樱桃番茄可显著降低果实发病率,延长果实保鲜期.种食药同源植物提取液对大肠杆菌抑菌效果较差.高良姜和天麻对金黄色葡萄球菌抑菌效果突出,可显著抑制金黄色葡萄球菌生长,二者对金黄色葡萄球菌的MIC分别为.和.mg/mL,MBC分别为.和.mg/mL.","花椒, 高良姜, 葡萄, 莱菔子, 樱桃, 番茄, 天麻","花椒, 高良姜, 葡萄, 莱菔子, 樱桃, 番茄, 天麻"
药食同源果树欧李分子水平研究进展,"韩红艳,杜俊杰","药食同源,欧李,凝集素","欧李(prunushumilisBge)是中国传统野生果树之一,与药用植物郁李同为蔷薇科樱桃属双子叶植物.欧李作为国家卫生部规定的药食同源植物有重要的研究价值,我们从""欧李、健康、生态""角度提出新问题,新概念、新理念、新技术、新发现.通过阅读文献和实际调查对其分子研究现状和内容进行了分析,重点以欧李凝集素为例对其食用和药用药用价值进行了阐释和展望.","樱桃, 李","樱桃, 李"
基于药食同源作物紫苏的屋顶绿化模式研究,"孙义新,张一,朱焰,李永,魏源,胡清","屋顶绿化,药食同源,紫苏,环境效益","采用药食同源作物紫苏代替传统绿化植物开展屋顶绿化试验,通过试验屋与对照屋的对比,探究了紫苏屋顶绿化模式的环境效益.结果表明:采用紫苏和复配土进行屋顶绿化时,产生的屋面荷载较低,符合屋顶绿化建筑的安全性原则;紫苏绿化具有很好的隔声降噪及隔热保温效果,同等情况下,试验屋内噪声级相较对照屋平均降低.dB,白天试验屋内气温最高可降低.℃,夜间则对室内产生.℃的保温效果;紫苏叶片对空气中浮尘具有一定的吸附效果;通过采用具有经济附加值的紫苏开展屋顶绿化,可以有效开发屋顶的经济价值.","紫苏, 紫苏叶","紫苏, 紫苏叶"
河北省药食同源大豆产业发展现状及对策,"胡春芳,李敏*,冯改静","河北省,药食同源,大豆,种植面积,产量,加工企业,发展现状,存在问题,建议","对河北省药食同源大豆产业的种植生产情况、加工企业现状进行分析,发现存在的问题,以期提出大豆产业发展的建议.利用文献调研、实地调研和专家访谈的情报分析方法,从大豆种植面积、单产水平、年总产量以及大豆加工企业情况方面,对河北省药食同源大豆产业的发展现状进行分析.结果表明:河北省大豆种植面积呈逐年下滑趋势,从年的hm减少到年的hm,减少了.%;单产水平基本呈平稳增长趋势,年单产水平已经达到了kg/hm;大豆总产量呈曲线下降趋势,从年的t下降到年的t,其中年总产量最低(t).河北省大豆加工食用品以初级加工农产品和传统加工产品为主,新兴大豆制品品种较少;加工的大豆保健品主要是大豆卵磷脂和大豆低聚糖.河北省大豆加工企业存在着产业链条短、深加工层次较浅、大型龙头企业较少、大豆加工原料不足等问题.并对河北省药食同源大豆产业的发展提出了相应对策.",低聚糖,低聚糖
凯里市药食同源植物资源调查研究,"雷启义,谢峰,周江菊,张文华,李性苑","凯里,药食同源植物,传统知识,药用植物,民族植物学","凯里地区苗族食用和药用同一植物防治疾病的现象较为普遍.为了掌握这类药食药同源植物资源和相关传统知识的现状.本研究运用民族植物学的方法进行实地调查,共记录药食同源植物种,隶属科属,其中数量最多的是唇形科,共有种;其次为蔷薇科,共种,再次为百合科、豆科、马齿苋科、菊科植物,每科各有种,其余的均为每科种.木本类有种,草本类种,草本类为苗族药食同源植物的主要类群,食用以叶和果实为主,药用以全草为主,这类植物主要是防治消化系统、血液循环系统和免疫系统等疾病.少数民族地区药食同源植物资源和相关传统知识非常丰富,需要深入地调查和研究,保护性开发这类深藏在少数民族民间利用药食同源植物的宝贵传统知识,更好地为人类的健康服务.",马齿苋,马齿苋
种药食同源中药治疗桥本甲状腺炎的研究进展,"李媛媛,周鸿铭,唐小牛","药食同源,中药,桥本甲状腺炎","随着桥本甲状腺炎的发病率逐年提高,药食同源药材既能作为药品又能作为食品,安全性高可以长期服用.文章对卫计委公布的《既是食品又是药品的物品名单》进行分类总结,以《中国药典》为依据,选出种具有治疗桥本甲状腺炎作用的药食同源中药:夏枯草、蒲公英、人参,并总结这种中药近年来治疗桥本甲状腺炎的实验研究和部分临床治疗效果,为进一步预防和治疗桥本甲状腺炎以及对桥本甲状腺炎患者的日常饮食指导起到积极作用.","夏枯草, 蒲公英, 人参","夏枯草, 蒲公英, 人参"
药食同源品种中重金属及有害元素的风险评估,"左甜甜,金红宇,屈浩然,张磊,孙磊,李静,马双成","中药材,药食同源,重金属元素,有害元素,风险评估,最大限量理论值,质量控制,中国药典","目的测定种药食同源品种中重金属及有害元素,通过风险评估制订其限量.方法采用电感耦合等离子体质谱(ICP-MS)法对全国范围内收集到的鱼腥草等批种药食同源品种中重金属及有害元素的残留量进行测定和分析,按照风险评估的基本步骤,对其重金属及有害元素的风险进行确定性评估,并计算其重金属及有害元素的最大限量理论值.结果批药食同源品种中,整体合格率为.％;其中,枸杞子、木瓜、酸枣仁、玉竹和乌梢蛇全部合格,菊花、肉桂、鱼腥草和山银花合格率分别为.％,.％,.％和.％;除了鱼腥草外,其他个药食同源品种风险可控,鱼腥草作为膳食的健康风险需要被关注;最大限量理论值的计算结果表明,年版《中国药典》中枸杞子铅和砷的限量大于其最大限量理论值,食品国标GB-中菊花和山银花中铅的限量大于最大限量理论值,其余限量合理.结论该方法可用于药食同源品种中重金属及有害元素的风险评估,建议以风险评估为指导,建立适用于药食同源品种使用特点的残留限量标准.","鱼腥草, 枸杞子, 木瓜, 酸枣仁, 玉竹, 乌梢蛇, 菊花, 肉桂, 银花, 铅","鱼腥草, 枸杞子, 木瓜, 酸枣仁, 玉竹, 乌梢蛇, 菊花, 肉桂, 银花, 铅"
药食同源蒲公英的栽培技术及其应用研究进展,"陈梦妮,王慧,李永山,范巧兰,秦欣","药食同源,蒲公英,栽培技术,药理作用,开发前景","蒲公英在我国分布广泛,因其独特的营养价值和药理作用,已明确归类为""药食同源物品"".基于前人研究介绍了蒲公英的形态特征,分析了品种筛选、外界环境的影响、田间管理、反季设施栽培技术和组织培养技术的概况,阐明了蒲公英活性物质的抗炎抑菌、抗氧化和抗肿瘤的药理作用.其可用于生产药品、食品、日用品、化妆品等多样化的工业产品,同时也可作为饲料添加剂,对牛、马、羊、家禽等具有保健作用,市场潜力巨大.",蒲公英,蒲公英
浅谈药食同源的中草药对糖尿病的保健作用,傅丽丽,"药食同源,中草药,糖尿病,保健","中医学中,糖尿病被称之为""消渴"",其在中药治疗中有着悠久的历史,由于其疗效好、副作用小,因此很受患者青睐.一直以来我国都有药食同源的说法,《神农本草经》中记载了五味子、百合、地黄、莲子等都是药性食物,在中医学中将这些药材作为原料熬制中药,体现出药物与食物没有严格的界限.目前我国规定的以中草药为主的药食同源物品有上百种,其在糖尿病保健中发挥着巨大的作用.本文也简单就此进行分析.","五味子, 百合, 地黄, 莲子","五味子, 百合, 地黄, 莲子"
ICP-MS法测定药食同源性食物中的重金属及有害元素,"庞小莲,陈婷婷,刘兰","电感耦合等离子体质谱(ICP-MS),药食同源性食物,重金属,有害元素,风险分析","建立药食同源性食品中的重金属及有害元素的残留量测定方法,为相关品种的重金属及有害元素的测定、标准完善及风险评估提供依据.采用电感耦合等离子体质谱(ICP-MS)法测定药食同源性食品中铅、镉、砷、汞、铜的含量.结果表明,种重金属及有害元素的线性关系良好相关系数均大于.,回收率为.％～.％,重复性良好.参照《中国药典》枸杞、黄芪等药食同源性食物的重金属及有害元素限量标准,种批药食同源性食物五种重金属元素含量测定的合格率为.％,其中镉存在超标现象,合格率为.％.本文采用的ICP-MS法适用于药食同源食品中的多种元素同时测定.实验显示少数个别品种的个别元素污染严重,建议重视此方面的控制,完善相关检测方法和限量标准.","铅, 枸杞, 黄芪","铅, 枸杞, 黄芪"
药食同源作物荠菜三播多收高效栽培技术,"陈建军,邱晓峰,管冬梅,邱卫池,袁春新","药食同源,荠菜,三播多收,栽培技术","为了满足华东地区人们对荠菜的特殊喜好,充分发挥野生荠菜食药同源和营养价值较高的特性,克服人工栽培产量低、效益差的短板,南通科技职业学院通过反复试验及在海门、东台等地多处示范推广,利用秋、冬季气温较低这一特定条件,发明了秋播荠菜三种多收高效栽培技术,主要包括品种选择、精细整地、破除休眠、田间管理、采密留疏,病虫防治等措施,每m产量从kg左右提高到kg,产值元以上,社会效益、经济效益显著.",荠菜,荠菜
药食同源植物茯苓的研究现状与展望,"刘淼,吴玉冰","药食同源,茯苓,化学成分,生物活性,综合开发","通过对药食同源植物茯苓化学成分、生物活性的比较分析,对茯苓综合开发利用的现状概述,发现茯苓是具有一系列抗癌抗炎、护肝养颜等生物学功效的高价值功能性植物,加强对茯苓的深入研究及开发利用,将为以茯苓为主要成分的中成药、保健食品的精细加工及多功能化妆品的研发提供基础与依据.",茯苓,茯苓
种药食同源植物的抗氧化作用,"王朋朋,徐佳,张丽梅,张淑华,王丽萍","药食同源,抗氧化,秀丽隐杆线虫","以刺梨、干姜、肉桂、山药、葡萄籽种药食同源植物为原料,利用水提法提取有效成分.以模式生物秀丽隐杆线虫(线虫)为模型,通过线虫寿命测定实验、体外氧化压力测定实验和体内自由基清除实验评估种药食同源植物的抗氧化作用.实验结果表明:mg/mL的刺梨水提物和mg/mL的葡萄籽水提物均能显著延长受试线虫寿命;种不同质量浓度的植物水提物均对受试线虫有显著的氧化损伤修复能力及一定的清除体内自由基能力,其中刺梨和葡萄籽水提物的清除自由基能力效果明显.","刺梨, 干姜, 肉桂, 山药, 葡萄籽","刺梨, 干姜, 肉桂, 山药, 葡萄籽"
杜仲叶药食同源研究进展,"王一飞,刘亚芳,王书辉,尹瑞林,李钦","杜仲叶,食用,无毒副作用,药食同源","杜仲叶为杜仲科植物杜仲(EucommiaulmoidesOliv.)的干燥叶.杜仲叶资源丰富,其有效成分、药理作用与杜仲皮相似.我国自古有食用杜仲叶的习惯,国外也有食用杜仲叶的经验,现代毒理学试验表明杜仲叶无毒副作用.本文通过分析杜仲叶国内外的食用历史和毒理学评价等内容,为杜仲叶作为“药食同源”中药材提供依据.","杜仲叶, 杜仲","杜仲叶, 杜仲"
