,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,篇名,作者,关键词,摘要
10,10,10,10,10,10,药食同源代茶饮对高血压的辅助治疗效果研究,"贠航,胡闭月,奚婧,张佳佳,王丽","药食同源,代茶饮,高血压,生活质量","目的探讨药食同源代茶饮对高血压的辅助治疗效果,并明确其安全性.方法选取年月～年月苏州市白莲卫生服务中心招募的高血压患者例,按照随机数字表法将其分为干预组例和对照组例.对照组接受常规治疗和健康宣教;干预组在对照组的基础上进行药食同源代茶饮干预,干预周期为周.比较干预期间两组患者血压、血液生化指标、生活质量情况.结果干预、周后,干预组收缩压低于对照组(P＜.),且两组在组间效应、时间效应和交互作用方面差异均有统计学意义(均P＜.).组内比较发现,干预周后,干预组收缩压低于干预前(P＜.);干预周后,干预组收缩压低于干预前、干预周后(P＜.).两组患者血液生化指标组内比较发现,干预组总胆固醇、谷丙转氨酶、总胆红素和白蛋白低于干预前,差异有统计学意义(P＜.),且干预组总胆固醇、尿素氮和白蛋白低于对照组,差异有统计学意义(P＜.).两组患者生活质量各维度得分组内比较发现,干预组健康状况和情感职能维度得分高于干预前,而对照组精神健康维度得分低于干预前,差异均有统计学意义(均P＜.),干预组健康状况和精神健康维度得分高于对照组,差异有统计学意义(P＜..).干预组药食同源代茶饮服用依从性为.％,期间患者未出现严重不良反应.结论药食同源代茶饮能起到辅助降压的效果,同时可以提高生活质量,并且安全性较高."
11,11,11,11,11,11,“药食同源”与植物饲料添加剂,"马廷法,代林,戴永海","药食同源,无抗养殖,植物饲料添加剂","“药食同源”理论是远古先人们在长期与疾病、饥饿作斗争的过程中总结出来的理论结晶.“药食同源”发展到今天,应用更加规范,更加安全.药食同源植物饲料添加剂兼具药性和食用性,赋予了饲料添加剂的活力.植物饲料添加剂营养素与活性成分并存既为动物带来机体所需的营养素,同时又对畜禽机体提高了免疫力.长期以来,畜牧业在高速发展的同时,也随之出现了抗生素滥用、药残超标等一系列问题.随着全社会对食品安全的重视,严控抗生素的使用成为大趋势.通过“限抗”“减抗”手段遏制滥用,“无抗养殖”是未来养殖业发展的大方向,运用天然、无残留性和无抗药性的地道的中兽药作为植物饲料添加剂,是现代畜牧业发展的必然趋势."
12,12,12,12,12,12,加速溶剂萃取-QuEChERS-超高效液相色谱-串联质谱法测定药食同源性食品中种真菌毒素,"方真,曲栗,古淑青,陈柔含,李优,邓晓军,郭德华,冯峰","超高效液相色谱-串联质谱,加速溶剂萃取,QuEChERS,真菌毒素,药食同源性食品","建立了加速溶剂萃取-QuEChERS-超高效液相色谱-串联质谱测定药食同源性食品中种真菌毒素的方法.样品经过加速溶剂萃取后用QuEChERS方法净化,液相色谱分离,在正、负离子同时扫描和多反应离子监测模式下检测,黄曲霉毒素B和伏马毒素B采用内标法定量,其余毒素采用基质外标法定量.在较宽的线性范围内,种目标化合物的线性相关系数(r)均大于..该方法的检出限为.～.μg/kg,定量限为.～.μg/kg,在个不同添加水平下的加标回收率为.％～％,RSD为.％～.％.采用建立的方法分别对市面上销售的个批次的山银花、葛根和沙棘产品进行检测,部分产品检出不同含量的真菌毒素.该方法快速、灵敏,适用于药食同源性食品中多种真菌毒素的同时检测."
13,13,13,13,13,13,“药食同源”植物酵素研究进展,"饶智,陈彦坤,刘斌,谢梦洲","药食同源,酵素,研究进展","“药食同源”植物酵素含有丰富的有益菌和活性成分,结合了药食两用植物的药效作用和酵素食品的营养保健功能,成为近年来酵素产品开发的新热点.该文在总结前人研究的基础上,综述了“药食同源”植物酵素的主要微生物和酶类、活性成分、保健作用、发酵工艺等方面的研究进展,以期对“药食同源”植物酵素的深入开发和研究提供参考."
14,14,14,14,14,14,药食同源的源流内涵及定义,"谢果珍,唐雪阳,梁雪娟,刘浩,张水寒","药食同源,内涵,同源性,养生保健","药食同源是人们对食物和药物关系的认识和归纳,深刻影响着人们的养生保健和防病治病等活动.通过对药食同源追本溯源,明晰了药食两用物质的发展脉络,明确了药食同源的内涵和定义,并通过""物-性-效""关系分析了药物与食物间的差异,以期为今后合理应用药食同源概念及物品提供参考."
15,15,15,15,15,15,清胃幽药食同源代用茶对幽门螺杆菌感染调理效果的临床分析,"王华良,李建明,王天星","清胃幽药食同源代用茶,幽门螺杆菌感染,疗效","目的分析清胃幽药食同源代用茶对幽门螺杆菌感染的调理效果.方法我院消化科幽门螺杆菌课题组专家成员选择年月至年月收治的幽门螺杆菌感染患者例作为研究对象,按照治疗方法的不同将患者分为研究组(常规治疗联合清胃幽药食同源代用茶治疗)和对照组(常规治疗),比较两组患者治疗后的炎性因子水平和免疫功能水平与HP转阴比例.结果研究组患者治疗后炎性因子水平明显低于对照组,免疫功能水平明显高于对照组,同时研究组的HP转阴率高达.％,幽门螺杆菌代谢物残留清除率达.％,比较差异有统计学意义(P<.).结论清胃幽药食同源代用茶能有效改善幽门螺杆菌感染患者的症状,降低患者的炎性因子水平,提高自身免疫力,其疗效突出,值得推广."
16,16,16,16,16,16,基于中医“治未病”理论筛选预防新型冠状病毒肺炎的“药食同源”类中药,"宋成,刘君君,姚诗文,孙佳彬,侯建明,冯秀芝,单国顺","药食同源,中药预防,新型冠状病毒肺炎","目的:在国家卫生健康委员会公布的按照传统药食同源中药材目录中筛选抗新型冠状病毒肺炎中药,在疫情期间为人们提供科学可靠的预防新型冠状病毒肺炎的“药食同源”类中药.方法:对自疫情以来通过中药预防新型冠状病毒肺炎感染的相关文献报道进行综述,并通过近期我国个省市卫生健康委员会发布的《新型冠状病毒感染的肺炎中医药预防方案》中提供的预防性药方,结合按照传统既是食品又是中药材物质目录,搜集整理具有抗病毒、增强机体免疫力的“药食同源”类中药.结果:通过筛选及梳理得到具有抗新型冠状病毒的“药食同源”中药九味.结论:桑叶、菊花、黄芪、青果、桔梗、金银花、藿香、甘草、百合(鲜百合)九味中药,符合中医药理念中“治未病”和“药食同源”的思想,可以应用于预防新型冠状病毒肺炎."
17,17,17,17,17,17,药食同源中药安全性研究进展,"石镇港,姜德建","药食同源,毒副作用,安全性","""药食同源""是指既是食品又是中药材的物质.随着药食同源中药材广泛的应用,一部分中药材的潜在毒副作用也随之出现.基于此,对中华人民共和国国家卫生健康委员会公布的药食同源中药材进行安全性、不良反应等文献报道系统性筛查,对其中出现过不良反应报道的中药及其毒性成分进行进一步的文献检索,并按其毒性成分已知与否分类综述,以期对其用于食疗、保健以及安全性深入研究提供参考."
18,18,18,18,18,18,种降血压药食同源原料研究进展及展望,"何嘉敏,于新,刘学云,王仲芬,唐树森","药食同源,功能性成分,食品,降血压机制","依据我国卫生部颁布的药食同源物品名录,从膳食疗法的角度阐述了莱菔子、山楂、菊花、葛根、决明子、牡蛎、木瓜、佛手、核桃仁和昆布种具有降血压功能的药食同源原料中功能性成分及其降血压机制;概述了降血压食品的发展现状,并指出药食同源降血压食品开发前景和方向."
19,19,19,19,19,19,三七的临床应用与药食同源使用现状,"韩倩,陈勇,魏江存,黄周艳,刘玟君,陈良妮","三七,临床应用,药食同源","三七是一种十分常见的化瘀止血类药材,对三七的称谓有田七、山漆、金不换等.从古至今历代医家都对三七的使用有不同见解,其主要用于跌打损伤、出血诸症,“止血不留瘀,化瘀不伤正”也得到各派医家的认同,并享有“止血神药”之美誉.三七不仅可以用于医疗,也可以成为百姓的食材之一,中医对食用三七还有着“生打熟补的说法.综述了最近十年来关于三七在临床方面的应用以及三七药食同源的使用情况."
20,20,20,20,20,20,浅谈药食同源食品蒲青琰植物固体饮料的应用,"鲍新,林玉惠,袁如英","药食同源,阴阳平衡,植物固体饮料","中医素有""药食同源""之说,表明医药与饮食属同一个起源.利用蒲公英、青果、鱼腥草、马齿苋、茯苓、金银花、山楂、罗汉果、益智仁、甘草、鸡内金、陈皮、鲜芦根、菊花、莲子、桔梗、葛根、紫苏等十八位味法定药食同源中药,开发出具有解表散寒、清热解毒、润喉生津、健脾温固的""阴阳平衡""药食同源植物固体饮料."
21,21,21,21,21,21,药食同源新配方液体KH-的抗病毒作用和安全性研究,"代岩,景世钰,吴杰军,陈景才,赵软金","药食同源,抗病毒,安全性","目的测试药食同源中药材新配方制成的液体KH-的抗病毒作用,并研究其安全性.方法组方选择金银花、菊花、菊苣、蒲公英、代代花、甘草、砂仁、淡竹叶为原料,通过八种药食同源中药材不同的配比及相应的制备工艺制备成液体KH-.进行体外细胞学实验证实其抗病毒作用,并测试其急性经口毒性、遗传毒性、天经口毒性.结果体外细胞学实验结果表明,KH-具有明显的广谱抗病毒作用,并且没有急性经口毒性、遗传毒性、天经口毒性.结论以金银花、菊花、菊苣、蒲公英、代代花、甘草、砂仁、淡竹叶为原料通过一定的制备工艺制得的液体KH-在细胞学实验中具有广谱抗病毒作用,并且是安全的."
22,22,22,22,22,22,基于现代文献探讨干预血脂异常的药食同源类药物用药特点及其病机分析,"葛肖波,薛晓琳,李鑫,李宁","血脂异常,药食同源中药,用药特点,病机,中医传承辅助平台","目的通过对文献的研究,探讨干预血脂异常的药食同源中药的用药特点,并对其进行病机分析.方法检索中文数据库(知网、万方、维普)筛选—年间血脂异常的临床文献,借助""中医传承辅助平台V."",以年卫健委公布的种药食同源中药为对照,对数据进行频次、关联规则分析,按通用教材对药食同源中药的药效、性味和归经进行统计分析,基于统计结果探讨药食同源中药干预血脂异常的用药特点,并对其进行病机分析.结果药食同源中药味(占常用味的.％),出现频次为次(占味中药出现次数的.％);出现频次≥次的药食同源中药共味(占味药食同源中药的.％),出现频次为次(占味药食同源中药出现次数的.％),按频次由高到低排序依次为山楂、茯苓、决明子等;发掘出组治疗血脂异常的药食同源中药组合;干预血脂异常的药食同源中药药味以甘为主,药性以平为主,归脾经的药物最多.结论药食同源中药干预血脂异常多以健脾为基本治则,兼以祛湿化痰、活血化瘀,常用药食同源中药为山楂、决明子、茯苓等,可将这些药物用于血脂异常的日常保健与临床防治."
23,23,23,23,23,23,基于专利文献的药食同源学科发展态势分析,"胡春芳,肇楠,冯改静","药食同源,智慧芽,专利分析,发展态势","随着人们对药食同源文化的了解与认同,药食两用方面的开发潜力尚有广阔的空间.利用智慧芽(PatSnap)专利检索平台获取～年国内外药食同源领域专利技术,运用Excel软件对相关专利技术申请态势、重要申请人、特殊专利、IPC分布、产业布局进行了系统分析.结果表明:～年与药食同源专利申请量呈稳定发展期—缓慢增长期—快速增长期—回落期发展趋势;申请数量最多的国家分别为中国、韩国、日本和美国,其中中国在数量上处于领先地位;药食同源专利申请机构以企业、个人和大专院校为主,.％的专利申请机构为高校和个人,成果转化能力较弱;药食同源专利技术焦点主要分布在IPC分类中的AL/、AL/、AL/类,说明药食同源方面研究技术主要集中在营养加工、保健茶、助消化药、保健饮料等方面.提出加强产学研合作、全面发展药食同源产品的对策建议."
24,24,24,24,24,24,一款药食同源马蹄糕的研制,"李淼,谢梦洲,陈禧音,付琴,曹海琳","药食同源,马蹄糕,清热,配方","以药食同源药物和马蹄粉为主要原料并配以辅料,以感官评分为指标,考查中药汁、梨汁、柠檬汁及马蹄粉添加量对马蹄糕品质的影响,采用单因素试验及正交试验确定配方.结果表明,最佳配方为中药汁mL(灰树花g,山药g,茯苓g,黄芪g,藕g,葛根g,党参g,甘草g,加水mL,浸泡min,煎煮min),梨汁mL,柠檬汁mL,马蹄粉g.按照最佳配方研制出的马蹄糕性状稳定、颜色均匀、口感风味良好."
25,25,25,25,25,25,"基于""药食同源""理论下的食用菌保健功能探析","王保平,赵斌","药食同源,食用菌,保健,功能","食用菌不仅营养非常丰富,而且同时具备食用和药用两大功能.随着人们对食用菌的进一步认知,发现在其不仅能有效提高人体免疫力,保护人体器官,而且具有抗癌、抗病毒等功能.随着国内保健市场的逐渐兴起,注重保健的阶层也逐渐扩大,人们都在寻找一种以食疗代替药疗的食品,食用菌当之无愧成为""药食同源""食品中的重要一员.更重要的是食用菌味道鲜美,价格亲民,更能被大众接受.这些内外因数决定了开发食用菌的保健功能具有十分广阔的发展前景,对拉动食用菌产业的整体发展、提高人民健康水平、增加人民幸福感具有十分重要的意义."
26,26,26,26,26,26,在线凝胶渗透色谱-气相色谱质谱联用仪测定药食同源样品中种农药残留,"张晓林,李博逸,迟滢,周芷亦,陈溪","药食同源,在线凝胶渗透色谱-气相色谱质谱联用法,农药","目的建立药食同源食品中多种农药残留检测的在线凝胶渗透色谱-气相色谱-质谱联用法(gelpermeationchromatography-gaschromatography-massspectrometry,GPC-GC-MS).方法本研究采用种不同净化方式对药食同源样品进行前处理,利用在线凝胶渗透色谱-气相色谱质谱联用仪测定样品中种农药残留.结果结果表明种农药在.～.μg/mL浓度范围内线性关系良好,检出限为.mg/kg,药食同源样品个水平添加回收为.％～.％,相对标准偏差为.％～.％.结论种方法中QuEChERS法灵敏度高,准确性好,可用于药食同源样品中多种农药残留的同时测定."
27,27,27,27,27,27,"高校创客实验室建设探索──以亳州学院""药食同源""创客实验室为例",李娜,"创客实验室,创新创业,药食同源","在""双创""的背景下,各高校都在进行创客实验室的建设,创客教育能够培养大学生的创新创业能力.本文以亳州学院""药食同源""创客实验室的建设为例,结合亳州学院办学定位和亳州市的中药产业情况,探讨了创客实验室建设相关内容与问题."
28,28,28,28,28,28,药食同源相关术语问题与对策,张华峰,"药食同源,术语,药食两用植物,药食同源产业","中国的药食同源理论独具特色,药食同源产业在国民健康与经济社会发展中发挥着重要作用.但是,当前药食同源相关术语及其标准化文件的缺乏,给药食同源产业的健康发展造成了较大困扰.文章介绍了药食同源产业的发展概况,分析了药食同源相关术语建设的现状与存在的问题,探讨了药食两用植物等重要术语的含义,提出了制定、完善药食同源相关术语的策略."
29,29,29,29,29,29,药食同源降血脂食品原料的研究及应用进展,"刘学云,于新,何嘉敏,王仲芬,唐树森","药食同源,降血脂,高血脂症","阐述了葛根、蒲公英、桑叶、决明子、山楂、山药、紫苏、荷叶、莱菔子、薏苡仁、红曲等种常见的药食同源原料中可控制和治疗高血脂症的有效成分,探讨了其降血脂的作用机制;综述了对药食同源中药为原料的降血脂食品的研究和发展现状,指出了药食同源降血脂食品开发中有待进一步研究和亟待解决的问题,为药食同源降血脂食品的开发和利用提供理论参考."
30,30,30,30,30,30,气质联用技术在药食同源植物分析中的研究进展,"张元,吴文杰,杨广建,闫加庆,刘敏,冯雪松,李馨艳,李国辉","药食同源植物,气质联用,化学成分,功效成分,质量控制","药食同源植物是指既可食用又能作为药材防病治病的植物,此类植物不良反应小、药用作用强且价格低廉,因此在临床上应用广泛.对于该类药物含有的活性成分进行深入研究能够更好地明确与发挥其药用价值和营养价值.世纪以来,气相色谱质谱联用技术的飞速发展推动了药食同源植物的活性成分的发现与研究,在药食同源植物的质量分析与成分开发中得到广泛应用并成为其主流分析技术之一.本文从近年来气质联用技术发展以及其在药食同源植物中的应用两个方面,对该技术在药食同源类植物的活性成分分析中的应用进行了综述."
31,31,31,31,31,31,"中国古代对于""药食同源""的认识","卢雨晴,张程","药食同源,医药文化,药性理论","近年来,依据药食同源理论发展而来的药膳、食疗、养生学等日益成为人们关注的热点,但对于古代药食同源理论的内容,人们却知之甚少.通过研读历代医书和本草著作,探究""药食同源""的历史发展,深入发掘和系统梳理这些记载,解读古人对药食同源作用机理的理论解释,可以在当代普及药食同源知识,同时也为药食同源理论及其相关产业的发展提供借鉴."
32,32,32,32,32,32,药食同源莲子的应用研究进展,"张超文,谢梦洲,王亚敏,向茗,朱建平,肖作为","莲子,药食同源功能,中医药,保健食品","莲子营养价值丰富,既可药用又可食用,为“药食同源”产品之一.自古以来,莲子都是人们喜爱的滋补品,不仅补益效果佳、来源方便,还可以根据不同的搭配制作出多种类型的莲子保健产品.随着研究的深入,莲子的应用范围日益广泛,已渗透到中医药、保健食品开发、日化用品研发中,且市场开发前景巨大."
33,33,33,33,33,33,五种药食同源花提取物体外协同抗氧化作用,"余祥雄,梁泽明,肖性龙,余以刚","药食同源花,复配物,DPPH,溶血,协同效应","通过,-二苯基--三硝基苯肼(,-diphenyl--picrylhydrazyl,DPPH)自由基清除试验和,-偶氮二(-甲基丙基咪)二盐酸盐(,-azobis-(-amidinopropane)dihydrochloride,AAPH)诱导红细胞溶血试验评价菊花、金银花、槐花、代代花、白扁豆花水提物和水提物的复配物(菊花％,槐花％,白扁豆花％,代代花％,金银花％)的抗氧化性,并讨论五种药食同源花的协同抗氧化作用.结果表明五种药食同源花的提取物及其复配物均具有一定程度的抗氧化能力.在DPPH体系中,根据自由基的半数清除率(IC值),各提取物抗氧化能力大小顺序为复配物(IC=.μg/mL)＞槐花(IC=.μg/mL)＞菊花(IC=.μg/mL)＞金银花(IC=.μg/mL)＞代代花(IC=.μg/mL)＞白扁豆花(IC=.μ,g/mL),复配物表现出明显的协同抗氧化效果.AAPH诱导红细胞溶血体系中,复配物和槐花提取物表现出很强的溶血抑制作用,而金银花、菊花、代代花以及白扁豆花提取物仅表现出较弱的抑制作用.剂量在～μg/mL时槐花提取物对红细胞的溶血抑制率小于复配物,当剂量达到μg/mL时,槐花提取物和复配物对红细胞的溶血抑制率分别为.％±.％和.％±.％,这说明五种药食同源花提取物之间存在协同抗氧化作用."
34,34,34,34,34,34,变换波长HPLC法同时测定药食同源降脂片中橙黄决明素、芦丁和槲皮素含量,"陈静,丁洁,沙芮,李瑞宾,牛犇","高效液相色谱法(HPLC),橙黄决明素,芦丁,槲皮素,药食同源降脂片",采用GeminiC色谱柱(.mm×mm袁μm)袁流速为mL/min袁柱温℃袁波长切换(~min袁在nm波长下检测芦丁袁~min袁在nm波长下检测槲皮素和橙黄决明素)袁进样量μL袁流动相为甲醇(A)-水(B).结果表明袁橙黄决明素在.~.μg/mL(R＝.)线性关系良好袁平均回收率为.%袁RSD为.%;芦丁在.~.μg/mL(R＝.)线性关系良好袁平均回收率为.%袁RSD为.%;槲皮素在.~.μg/mL(R＝.)线性关系良好袁平均回收率为.%袁RSD为.%.药食同源降脂片中橙黄决明素平均含量.mg/g袁RSD为.%;芦丁平均含量.mg/g袁RSD为.%;槲皮素平均含量.mg/g袁RSD为.%.该方法操作简便、准确、稳定、重复性好袁可用于药食同源降脂片的质量控制.
35,35,35,35,35,35,药食同源一岷县当归产业发展的新突破点,张建强,"当归食品,药食同源,当归产业,当归饮食文化","为了增加当归消费新需求,依据当归功效和药食同源思想,提出了开发当归食品的思路和推广建议.开发思路主要包括:充分挖掘中医食疗宝库,搜集民间传统的当归食品;运用现代生命科学研究成果,设计效果确切的当归食品;与大企业合作,联手开发当归食品;与日常食品和饮品相结合,开发当归系列食品.推广建议主要是:颠覆当归仅仅为中药材的传统观念,打造当归饮食文化;充分利用现有销售渠道,通过当归食品推广当归饮食文化;通过电视台、网络媒体积极传播当归饮食文化."
36,36,36,36,36,36,肝癌合并腹水患者应用药食同源利水方治疗的临床效果观察,郝爱凤,"肝癌腹水,药食同源利水方,中西医联合治疗","目的对应用药食同源利水方治疗肝癌合并腹水患者的临床效果进行观察分析.方法对治疗的肝癌合并腹水患者中抽取例,并随机分为对照组(n=)和治疗组(n=),对照组用西医常规治疗方法,治疗组则在维持血清白蛋白≥g/l基础上采用药食同源利水方治疗,比较观察两组患者腹水症状改善的总有效率和患者的生活质量.结果治疗组患者的腹水改善总有效率为％,患者生活质量提高率为％、稳定率为％、下降率为％,均优于对照组,P＜..结论药食同源利水方治疗肝癌合并腹水患者可以收到良好的远期疗效,副作用极小,更好地改善患者的临床症状,减少痛苦,对提高生存质量,延长生存期有积极作用."
